sample_id,label_id,label_name,split,seed,dataset
1,0,0,train,2025,asl_dataset
2,0,0,train,2025,asl_dataset
4,0,0,train,2025,asl_dataset
6,0,0,train,2025,asl_dataset
7,0,0,train,2025,asl_dataset
8,0,0,train,2025,asl_dataset
9,0,0,train,2025,asl_dataset
11,0,0,train,2025,asl_dataset
13,0,0,train,2025,asl_dataset
14,0,0,train,2025,asl_dataset
15,0,0,train,2025,asl_dataset
16,0,0,train,2025,asl_dataset
17,0,0,train,2025,asl_dataset
18,0,0,train,2025,asl_dataset
20,0,0,train,2025,asl_dataset
21,0,0,train,2025,asl_dataset
23,0,0,train,2025,asl_dataset
25,0,0,train,2025,asl_dataset
26,0,0,train,2025,asl_dataset
27,0,0,train,2025,asl_dataset
29,1,1,train,2025,asl_dataset
30,1,1,train,2025,asl_dataset
31,1,1,train,2025,asl_dataset
32,1,1,train,2025,asl_dataset
33,1,1,train,2025,asl_dataset
34,1,1,train,2025,asl_dataset
35,1,1,train,2025,asl_dataset
36,1,1,train,2025,asl_dataset
37,1,1,train,2025,asl_dataset
39,1,1,train,2025,asl_dataset
40,1,1,train,2025,asl_dataset
41,1,1,train,2025,asl_dataset
43,1,1,train,2025,asl_dataset
45,1,1,train,2025,asl_dataset
46,1,1,train,2025,asl_dataset
47,1,1,train,2025,asl_dataset
48,1,1,train,2025,asl_dataset
49,1,1,train,2025,asl_dataset
50,1,1,train,2025,asl_dataset
51,1,1,train,2025,asl_dataset
52,1,1,train,2025,asl_dataset
53,1,1,train,2025,asl_dataset
54,1,1,train,2025,asl_dataset
58,1,1,train,2025,asl_dataset
59,1,1,train,2025,asl_dataset
61,1,1,train,2025,asl_dataset
63,1,1,train,2025,asl_dataset
64,1,1,train,2025,asl_dataset
67,1,1,train,2025,asl_dataset
68,1,1,train,2025,asl_dataset
69,1,1,train,2025,asl_dataset
72,1,1,train,2025,asl_dataset
74,1,1,train,2025,asl_dataset
75,1,1,train,2025,asl_dataset
78,1,1,train,2025,asl_dataset
81,1,1,train,2025,asl_dataset
82,1,1,train,2025,asl_dataset
83,1,1,train,2025,asl_dataset
84,1,1,train,2025,asl_dataset
85,1,1,train,2025,asl_dataset
86,1,1,train,2025,asl_dataset
89,2,2,train,2025,asl_dataset
90,2,2,train,2025,asl_dataset
91,2,2,train,2025,asl_dataset
92,2,2,train,2025,asl_dataset
93,2,2,train,2025,asl_dataset
94,2,2,train,2025,asl_dataset
95,2,2,train,2025,asl_dataset
96,2,2,train,2025,asl_dataset
102,2,2,train,2025,asl_dataset
103,2,2,train,2025,asl_dataset
104,2,2,train,2025,asl_dataset
105,2,2,train,2025,asl_dataset
106,2,2,train,2025,asl_dataset
107,2,2,train,2025,asl_dataset
109,2,2,train,2025,asl_dataset
110,2,2,train,2025,asl_dataset
111,2,2,train,2025,asl_dataset
113,2,2,train,2025,asl_dataset
114,2,2,train,2025,asl_dataset
116,2,2,train,2025,asl_dataset
117,2,2,train,2025,asl_dataset
118,2,2,train,2025,asl_dataset
119,2,2,train,2025,asl_dataset
120,2,2,train,2025,asl_dataset
121,2,2,train,2025,asl_dataset
123,2,2,train,2025,asl_dataset
124,2,2,train,2025,asl_dataset
125,2,2,train,2025,asl_dataset
127,2,2,train,2025,asl_dataset
128,2,2,train,2025,asl_dataset
130,2,2,train,2025,asl_dataset
131,2,2,train,2025,asl_dataset
132,2,2,train,2025,asl_dataset
134,3,3,train,2025,asl_dataset
135,3,3,train,2025,asl_dataset
137,3,3,train,2025,asl_dataset
138,3,3,train,2025,asl_dataset
139,3,3,train,2025,asl_dataset
143,3,3,train,2025,asl_dataset
144,3,3,train,2025,asl_dataset
145,3,3,train,2025,asl_dataset
146,3,3,train,2025,asl_dataset
148,3,3,train,2025,asl_dataset
150,3,3,train,2025,asl_dataset
151,3,3,train,2025,asl_dataset
152,3,3,train,2025,asl_dataset
153,3,3,train,2025,asl_dataset
154,3,3,train,2025,asl_dataset
